Order	Name	Location	Status	lat	NS	long	EW	Elev	Type	Eruptype
572	Cendres Ile des	SE Asia	Historical	10.158	N	109.014	E	-20	Submarine volcanoes	M0
573	Veteran	SE Asia	Fumarolic	9.83	N	109.05	E		Submarine volcano	S0
574	Popa	SE Asia	Anthropology	20.92	N	95.25	E	1518	Stratovolcano	S0
575	Lower Chindwin	SE Asia	Holocene maybe	22.28	N	95.1	E	385	Volcanic field	S0
576	Singu Plateau	SE Asia	Holocene	22.7	N	95.98	E	507	Fissure vents	S0
577	Tengchong	SE Asia	Uranium-series	25.23	N	98.5	E	2865	Pyroclastic cones	S0
578	Unnamed	Taiwan-E of	Uncertain	19.17	N	132.25	E	-10	Submarine volcano  maybe	S0
579	Unnamed	Taiwan-E of	Uncertain	20.93	N	134.75	E	-6000	Submarine volcano  maybe	U0
580	Unnamed	Taiwan-E of	Uncertain	21.83	N	121.18	E	-115	Submarine volcano	U0
581	Kueishantao	Taiwan-E of	Historical	24.85	N	121.92	E	401	Stratovolcano	S0
582	Unnamed	Taiwan-E of	Historical	24	N	121.83	E		Submarine volcano	S0
583	Unnamed	Taiwan-N of	Uncertain	25.4	N	122.2	E	-100	Submarine volcano	U0
584	Zengyu	Taiwan-N of	Uncertain	26.18	N	122.458	E	-418	Submarine volcano	U0
585	Iriomote-jima	Ryukyu Is	Historical	24.558	N	124	E	-200	Submarine volcano	U0
586	Yokoate-jima	Ryukyu Is	Historical	28.797	N	128.997	E	495	Stratovolcanoes	S0
587	Akuseki-jima	Ryukyu Is	Holocene maybe	29.461	N	129.597	E	584	Stratovolcanoes	S0
