Name	Location	Status	lat	NS	long	EW	Elev	Type	Eruptype
Tafahi	Tonga-SW Pacific	Holocene maybe	-15.85	S	-173.72	W	560	Stratovolcano	S0
Garbuna Group	New Britain-SW Pac	Historical	-5.45	S	150.03	E	564	Stratovolcanoes	S0
Garua Harbour	New Britain-SW Pac	Holocene maybe	-5.3	S	150.07	E	565	Volcanic field	S0
Akuseki-jima	Ryukyu Is	Holocene maybe	29.461	N	129.597	E	584	Stratovolcanoes	S0
Reporoa	New Zealand	Tephrochronology	-38.42	S	176.33	E	592	Caldera	S0
North Vate	Vanuatu-SW Pacific	Holocene	-17.47	S	168.353	E	594	Stratovolcanoes	M0
West Eifel Volc Field	Germany	Radiocarbon	50.17	N	6.85	E	600	Maars	S0
Manda Hararo	Ethiopia	Historical	12.17	N	40.82	E	600	Shield volcanoes	M0
Manda-Inakir	Ethiopia	Historical	12.38	N	42.2	E	600	Fissure vents	M0
Gufa	Ethiopia	Holocene	12.55	N	42.53	E	600	Volcanic field	M0
Tangaroa	New Zealand	Fumarolic	-36.321	S	178.028	E	600	Submarine volcano	U0
Lipari	Italy	Historical	38.48	N	14.95	E	602	Stratovolcanoes	S0
Sulu Range	New Britain-SW Pac	Fumarolic	-5.5	S	150.942	E	610	Stratovolcanoes	S0
Dalaffilla	Ethiopia	Historical	13.792	N	40.55	E	613	Stratovolcano	M0
Erta Ale	Ethiopia	Historical	13.6	N	40.67	E	613	Shield volcano	M1
Zukur	Red Sea	Holocene	14.02	N	42.75	E	624	Shield volcano	M0
Kurub	Ethiopia	Holocene	11.88	N	41.208	E	625	Shield volcano	M0
Hiri	Halmahera-Indonesia	Holocene	0.9	N	127.32	E	630	Stratovolcano	M0
Iya	Lesser Sunda Is	Historical	-8.897	S	121.645	E	637	Stratovolcano	M1
Ofu-Olosega	Samoa-SW Pacific	Historical	-14.175	S	-169.618	W	639	Shield volcanoes	M0
Waiowa	New Guinea	Historical	-9.57	S	149.075	E	640	Pyroclastic cone	S2
Banda Api	Banda Sea	Historical	-4.525	S	129.871	E	640	Caldera	S1
Serua	Banda Sea	Historical	-6.3	S	130	E	641	Stratovolcano	S1
Musuan	Mindanao-Philippines	Historical	7.877	N	125.068	E	646	Lava dome	S0
Tutuila	Samoa-SW Pacific	Holocene	-14.295	S	-170.7	W	653	Tuff cones	M0
Teon	Banda Sea	Historical	-6.92	S	129.125	E	655	Stratovolcano	S2
Borale Ale	Ethiopia	Holocene	13.725	N	40.6	E	668	Stratovolcano	M0
Bayuda Volc Field	Africa-N	Radiocarbon	18.33	N	32.75	E	670	Cinder cones	M0
Prince Edward Island	Indian O.	Holocene	-46.63	S	37.95	E	672	Shield volcano	M0
Malang Plain	Java	Holocene	-8.02	S	112.68	E	680	Maars	S0
Bam	New Guinea-NE of	Historical	-3.613	S	144.818	E	685	Stratovolcano	S2
Rabaul	New Britain-SW Pac	Historical	-4.271	S	152.203	E	688	Pyroclastic shield	S1
Nisyros	Greece	Historical	36.586	N	27.16	E	698	Stratovolcano	S0
Segererua Plateau	Africa-E	Holocene	1.57	N	37.9	E	699	Pyroclastic cones	M0
Tat Ali	Ethiopia	Holocene	13.28	N	41.07	E	700	Shield volcano	M0
Lihir	New Ireland-SW Pacific	Holocene	-3.125	S	152.642	E	700	Volcanic complex	M0
Narcondum	Andaman Is-Indian O	Holocene	13.43	N	94.28	E	710	Stratovolcano	S0
Camiguin de Babuyanes	Luzon-N of	Historical	18.83	N	121.86	E	712	Stratovolcano	S0
Jalua	Ethiopia	Holocene	15.042	N	39.82	E	713	Stratovolcano	M0
Ruang	Sangihe Is-Indonesia	Historical	2.3	N	125.37	E	725	Stratovolcano	S1
Pago	New Britain-SW Pac	Historical	-5.58	S	150.52	E	742	Caldera	S1
Laguna Caldera	Luzon-Philippines	Fumarolic	14.42	N	121.27	E	743	Caldera	S0
Tara Batu	Lesser Sunda Is	Historical	-7.792	S	123.579	E	748	Stratovolcano	M1
Kula	Turkey	Holocene	38.58	N	28.52	E	750	Cinder cones	M0
Nyambeni Hills	Africa-E	Holocene	0.23	N	37.87	E	750	Shield volcano	M0
Ndete Napu	Lesser Sunda Is	Fumarolic	-8.72	S	121.78	E	750	Fumarole field	S0
Mílos	Greece	Radiocarbon	36.699	N	24.439	E	751	Stratovolcanoes	S0
Methana	Greece	Historical	37.615	N	23.336	E	760	Lava domes	S0
Taupo	New Zealand	Radiocarbon	-38.82	S	176	E	760	Caldera	S0
Cochons Ile aux	Indian O.-S	Holocene	-46.1	S	50.23	E	775	Stratovolcano	M0
Nila	Banda Sea	Historical	-6.73	S	129.5	E	781	Stratovolcano	S1
Ischia	Italy	Historical	40.73	N	13.897	E	789	Complex volcano	S0
Gaua	Vanuatu-SW Pacific	Historical	-14.27	S	167.5	E	797	Stratovolcano	S1
Vulsini	Italy	Historical	42.6	N	11.93	E	800	Caldera	S0
South Island	Africa-E	Historical	2.63	N	36.6	E	800	Stratovolcano	M0
Toroeng Prong	SE Asia	Holocene maybe	14.93	N	108	E	800	Cinder cone	M0
Nabukelevu	Fiji Is-SW Pacific	Radiocarbon	-19.12	S	177.98	E	805	Lava domes	S0
Lolo	New Britain-SW Pac	Holocene maybe	-5.468	S	150.507	E	805	Stratovolcano	S0
Musa River	New Guinea	Hot Springs	-9.308	S	148.13	E	808	Hydrothermal field	S0
Jolo	Sulu Is-Philippines	Historical	6.013	N	121.057	E	811	Pyroclastic cones	M0
Borawli	Ethiopia	Holocene	13.3	N	40.98	E	812	Stratovolcano	M0
